公告,#genre#
江苏卫视,http://112.66.136.235:8888/rtp/239.253.64.202:5140
浙江卫视,http://112.66.136.235:8888/rtp/239.253.64.206:5140
东方卫视,http://112.66.136.235:8888/rtp/239.253.64.201:5140
深圳卫视,http://112.66.136.235:8888/rtp/239.253.64.203:5140
北京卫视,http://112.66.136.235:8888/rtp/239.253.64.204:5140
山东卫视,http://112.66.136.235:8888/rtp/239.253.64.208:5140
天津卫视,http://112.66.136.235:8888/rtp/239.253.64.198:5140
贵州卫视,http://112.66.136.235:8888/rtp/239.253.64.197:5140
四川卫视SD,http://112.66.136.235:8888/rtp/239.253.64.36:5140
云南卫视SD,http://112.66.136.235:8888/rtp/239.253.64.147:5140
广西卫视SD,http://112.66.136.235:8888/rtp/239.253.64.45:5140
黑龙江卫视,http://112.66.136.235:8888/rtp/239.253.64.205:5140
安徽卫视,http://112.66.136.235:8888/rtp/239.253.64.129:5140
山西卫视SD,http://112.66.136.235:8888/rtp/239.253.64.31:5140
江西卫视,http://112.66.136.235:8888/rtp/239.253.64.56:5140
湖北卫视,http://112.66.136.235:8888/rtp/239.253.64.207:5140
海南卫视,http://112.66.136.235:8888/rtp/239.253.64.253:5140
陕西卫视SD,http://112.66.136.235:8888/rtp/239.253.64.37:5140
东南卫视,http://112.66.136.235:8888/rtp/239.253.64.66:5140
厦门卫视SD,http://112.66.136.235:8888/rtp/239.253.64.179:5140
吉林卫视,http://112.66.136.235:8888/rtp/239.253.64.57:5140
辽宁卫视,http://112.66.136.235:8888/rtp/239.253.64.150:5140
内蒙古卫视SD,http://112.66.136.235:8888/rtp/239.253.64.144:5140
湖南卫视,http://112.66.136.235:8888/rtp/239.253.64.114:5140
广东卫视,http://112.66.136.235:8888/rtp/239.253.64.200:5140
河南卫视,http://112.66.136.235:8888/rtp/239.253.64.157:5140
河北卫视,http://112.66.136.235:8888/rtp/239.253.64.210:5140
宁夏卫视,http://112.66.136.235:8888/rtp/239.253.64.88:5140
甘肃卫视,http://112.66.136.235:8888/rtp/239.253.64.156:5140
青海卫视SD,http://112.66.136.235:8888/rtp/239.253.64.46:5140
新疆卫视,http://112.66.136.235:8888/rtp/239.253.64.85:5140
西藏卫视,http://112.66.136.235:8888/rtp/239.253.64.84:5140
兵团卫视,http://112.66.136.235:8888/rtp/239.253.64.86:5140
三沙卫视,http://112.66.136.235:8888/rtp/239.253.64.112:5140
山东教育卫视SD,http://112.66.136.235:8888/rtp/239.253.64.241:5140
重庆卫视SD,http://112.66.136.235:8888/rtp/239.253.64.35:5140
江苏卫视SD,http://112.66.136.235:8888/rtp/239.253.64.27:5140
浙江卫视SD,http://112.66.136.235:8888/rtp/239.253.64.28:5140
东方卫视SD,http://112.66.136.235:8888/rtp/239.253.64.25:5140
深圳卫视SD,http://112.66.136.235:8888/rtp/239.253.64.145:5140
北京卫视SD,http://112.66.136.235:8888/rtp/239.253.64.24:5140
山东卫视SD,http://112.66.136.235:8888/rtp/239.253.64.30:5140
天津卫视SD,http://112.66.136.235:8888/rtp/239.253.64.40:5140
贵州卫视SD,http://112.66.136.235:8888/rtp/239.253.64.47:5140
黑龙江卫视SD,http://112.66.136.235:8888/rtp/239.253.64.42:5140
安徽卫视SD,http://112.66.136.235:8888/rtp/239.253.64.29:5140
江西卫视SD,http://112.66.136.235:8888/rtp/239.253.64.34:5140
湖北卫视SD,http://112.66.136.235:8888/rtp/239.253.64.33:5140
海南卫视SD,http://112.66.136.235:8888/rtp/239.253.64.5:5140
东南卫视SD,http://112.66.136.235:8888/rtp/239.253.64.43:5140
吉林卫视SD,http://112.66.136.235:8888/rtp/239.253.64.142:5140
辽宁卫视SD,http://112.66.136.235:8888/rtp/239.253.64.41:5140
湖南卫视SD,http://112.66.136.235:8888/rtp/239.253.64.32:5140
广东卫视SD,http://112.66.136.235:8888/rtp/239.253.64.44:5140
河南卫视SD,http://112.66.136.235:8888/rtp/239.253.64.38:5140
河北卫视SD,http://112.66.136.235:8888/rtp/239.253.64.39:5140
宁夏卫视SD,http://112.66.136.235:8888/rtp/239.253.64.89:5140
甘肃卫视SD,http://112.66.136.235:8888/rtp/239.253.64.140:5140
新疆卫视SD,http://112.66.136.235:8888/rtp/239.253.64.146:5140
西藏卫视SD,http://112.66.136.235:8888/rtp/239.253.64.143:5140
兵团卫视SD,http://112.66.136.235:8888/rtp/239.253.64.178:5140
三沙卫视SD,http://112.66.136.235:8888/rtp/239.253.64.113:5140
重庆卫视,http://112.66.141.124:8888/rtp/239.253.64.55:5140
江苏卫视,http://112.66.141.124:8888/rtp/239.253.64.202:5140
浙江卫视,http://112.66.141.124:8888/rtp/239.253.64.206:5140
东方卫视,http://112.66.141.124:8888/rtp/239.253.64.201:5140
深圳卫视,http://112.66.141.124:8888/rtp/239.253.64.203:5140
北京卫视,http://112.66.141.124:8888/rtp/239.253.64.204:5140
山东卫视,http://112.66.141.124:8888/rtp/239.253.64.208:5140
